03ef SPRING
07ef VARIA
0bef GRAVITY
0fef XRAY
13ef PLASMA
17ef GRAPPLE
1bef SPACE
1fef SCREW
23ef MORPH
27ef RESERVE
2bef CHOZO_ETANK
2fef CHOZO_MISSILE
33ef CHOZO_SUPER
37ef CHOZO_PB
3bef CHOZO_BOMB
3fef CHOZO_CHARGE
43ef CHOZO_ICE
47ef CHOZO_HIJUMP
4bef CHOZO_SPEED
4fef CHOZO_WAVE
53ef CHOZO_SPAZER
57ef CHOZO_SPRING
5bef CHOZO_VARIA
5fef CHOZO_GRAVITY
63ef CHOZO_XRAY
67ef CHOZO_PLASMA
6bef CHOZO_GRAPPLE
6fef CHOZO_SPACE
73ef CHOZO_SCREW
77ef CHOZO_MORPH
7bef CHOZO_RESERVE
7fef HIDDEN_ETANK
83ef HIDDEN_MISSILE
87ef HIDDEN_SUPER
8bef HIDDEN_PB
8fef HIDDEN_BOMB
93ef HIDDEN_CHARGE
97ef HIDDEN_ICE
9bef HIDDEN_HIJUMP
9fef HIDDEN_SPEED
a3ef HIDDEN_WAVE
a7ef HIDDEN_SPAZER
abef HIDDEN_SPRING
afef HIDDEN_VARIA
b3ef HIDDEN_GRAVITY
b7ef HIDDEN_XRAY
bbef HIDDEN_PLASMA
bfef HIDDEN_GRAPPLE
c3ef HIDDEN_SPACE
c7ef HIDDEN_SCREW
cbef HIDDEN_MORPH
cfef HIDDEN_RESERVE
d7ee ETANK
dbee MISSILE
dfee SUPER
e3ee PB
e7ee BOMB
ebee CHARGE
efee ICE
f3ee HIJUMP
f7ee SPEED
fbee WAVE
ffee SPAZER
